Name,Status,Price,Stars,Ratings,Link
NEW Nintendo Switch Console System with Super Mario Odyssey Set Japanese Version,Brand New,"JPY 77,941",5.0,0,https://www.ebay.com/itm/NEW-Nintendo-Switch-Console-System-with-Super-Mario-Odyssey-Set-Japanese-Version/332612221963?epid=23024812516&hash=item4d713bbc0b:g:qycAAOSwb6Fax4Cq
Nintendo Switch 32GB Gray Console with Neon Red and Neon Blue Joy-Con,Brand New,"JPY 52,332",5.0,0,https://www.ebay.com/itm/Nintendo-Switch-32GB-Gray-Console-with-Neon-Red-and-Neon-Blue-Joy-Con/353019403266?epid=23024812516&hash=item5231989c02:g:DDkAAOSwWOFeeXAv
Nintendo Switch Console 32GB Red Blue Neon Joy-Cons BRAND NEW FAST V2,Brand New,"JPY 32,958",4.5,0,https://www.ebay.com/itm/Nintendo-Switch-Console-32GB-Red-Blue-Neon-Joy-Cons-BRAND-NEW-FAST-V2/283825351682?epid=22031750451&hash=item42154f2c02:g:KZwAAOSw6wdeeVNx
Nintendo Switch HAC-001(-01) 32GB Console with Red/Blue Joy‑Con. Brand New. ,Brand New,"JPY 49,993",0,0,https://www.ebay.com/itm/Nintendo-Switch-HAC-001-01-32GB-Console-with-Red-Blue-Joy-Con-Brand-New/283825166979?hash=item42154c5a83:g:3RIAAOSwmVxeeSrJ
Nintendo Switch Bundle Game and Controller HAC-001(-01) 32GB Console FAST SHIP,Brand New,"JPY 75,715",5.0,0,https://www.ebay.com/itm/Nintendo-Switch-Bundle-Game-and-Controller-HAC-001-01-32GB-Console-FAST-SHIP/174229106914?epid=23024812516&hash=item2890dd30e2:g:wlMAAOSwoGdeeR10
Nintendo Switch 32GB Gray Console with Neon Red and Neon Blue Joy-Con (V2),Brand New,"JPY 55,672",0,0,https://www.ebay.com/itm/Nintendo-Switch-32GB-Gray-Console-with-Neon-Red-and-Neon-Blue-Joy-Con-V2/193394223307?hash=item2d0731a8cb:g:Q~8AAOSwHy5eeYrh
Nintendo Switch Lite HDH-001 Handheld Console Gray ,Pre-Owned,"JPY 19,597",Tim,0,https://www.ebay.com/itm/Nintendo-Switch-Lite-HDH-001-Handheld-Console-Gray/402179296142?hash=item5da3c10b8e:g:QGUAAOSwxIleTDp8
Nintendo Switch Console Neon Red & Blue BRAND NEW IN HAND SHIPS ASAP,Brand New,"JPY 50,105",0,0,https://www.ebay.com/itm/Nintendo-Switch-Console-Neon-Red-Blue-BRAND-NEW-IN-HAND-SHIPS-ASAP/293522500790?hash=item44574decb6:g:Q0MAAOSwEpBeeSVD
Nintendo Switch 32GB Gray Console with Neon Red and Neon Blue Joy-Con,Brand New,"JPY 52,889",5.0,0,https://www.ebay.com/itm/Nintendo-Switch-32GB-Gray-Console-with-Neon-Red-and-Neon-Blue-Joy-Con/264677783608?epid=23024812516&hash=item3da0067838:g:KWsAAOSwqI5bcoPq
"Nintendo Switch HAC-001 32GB Console with Neon joycons, Pokemon, and accessories",Pre-Owned,"JPY 36,522",Tim,0,https://www.ebay.com/itm/Nintendo-Switch-HAC-001-32GB-Console-with-Neon-joycons-Pokemon-and-accessories/233537076780?hash=item365fe4fe2c:g:DUMAAOSwvNpeeT-M
